MassiveID	filename	Study_SubjectIdentifierAsRecorded	Study_UniqueSubjectID	ATTRIBUTE_Subject_Sex	Subject_AgeInYears	ATTRIBUTE_Subject_LifeStage	Subject_Country	ATTRIBUTE_Subject_HumanPopulationDensity	Analysis_SampleCollectionMethod	Analysis_SampleExtractionMethod	Analysis_InternalStandardsUsed	ATTRIBUTE_Analysis_MassSpectrometer	Analysis_IonizationSourceAndPolarity	Analysis_ChromatographyAndPhase	Analysis_YearOfAnalysis	Study_DayAsReported	Study_DayRelative	Study_TimepointMin	Subject_Health	Study_SampleTypeasRecorded	Study_SampleTermsofPosition	ATTRIBUTE_Curated_SampleType	ATTRIBUTE_Curated_SampleType_Sub1	ATTRIBUTE_Curated_BodyPartOntologyName	ATTRIBUTE_Curated_BodyPartOntologyIndex	Curated_DiseaseCommonName	ATTRIBUTE_Curated_DiseaseOntologyIndex	Curated_Comorbidity_ListDOIDs	ATTRIBUTE_kingdom	ATTRIBUTE_phylum	ATTRIBUTE_class	ATTRIBUTE_order	ATTRIBUTE_family	ATTRIBUTE_genus	ATTRIBUTE_species	ATTRIBUTE_simplified_class
MSV000083351	BAX01_x6_BA1_01_14702.mzXML	BAX01	MSV000083351_BAX01	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	artiodactyla	physeteridae	physeter	physeter macrocephalus	mammal
MSV000083351	bax02_x6_ba2_01_14703.mzXML	BAX02	MSV000083351_BAX02	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	carnivora	ursidae	melursus	melursus ursinus inornatus	mammal
MSV000083351	BAX04_x6_BA4_01_14705.mzXML	BAX04	MSV000083351_BAX04	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	diprotodontia	phascolarctidae	phascolarctos	phascolarctos cinereus	mammal
MSV000083351	BAX59_x6_BF4_01_14767.mzXML	BAX59	MSV000083351_BAX59	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_mammalia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	mammalia	diprotodontia	macropodidae	macropus	macropus fuliginosus	mammal
MSV000083351	BAX51_x6_BE7_01_14758.mzXML	BAX51	MSV000083351_BAX51	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_reptilia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	reptilia	crocodilia	crocodylidae	crocodylus	crocodylus novaeguineae	reptile
MSV000083351	BAX06_x6_BA6_01_14707.mzXML	BAX06	MSV000083351_BAX06	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_amphibia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	amphibia	anura	hylidae	pachymedusa	pachymedusa danicolor	amphibian
MSV000083351	BAX66_x6_BF11_01_14774.mzXML	BAX66	MSV000083351_BAX66	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	accipitriformes	accipitridae	aquila	auila audax	birds
MSV000083351	BAX67_x6_BG1_01_14776.mzXML	BAX67	MSV000083351_BAX67	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	accipitriformes	accipitridae	gyps	gyps africanus	birds
MSV000083351	BAX60_x6_BF5_01_14768.mzXML	BAX60	MSV000083351_BAX60	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_reptilia_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	reptilia	crocodilia	gavialidae	tomistoma	tomistoma schlegelii	reptile
MSV000083351	BAX55_x6_BE11_01_14762.mzXML	BAX55	MSV000083351_BAX55	not collected	not collected	not collected	not collected	not applicable	solid material, dried	methanol (100%)	sulfamethazine	Maxis_ImpactHD	electrospray ionization (positive)	reverse phase (C18)	2018	not applicable	not applicable	not applicable	not collected	bile acid extract	not applicable	animal_aves_NOS	feces	feces	UBERON:0001988	not applicable	not applicable	no disease reported	animalia	chordata	aves	accipitriformes	cathartidae	vultur	vultur gryphus	birds
